ID,Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
2028,0.136,-0.060,0.068,-0.199,-0.325,-0.151,0.024,-0.090,-0.596
2029,0.136,-0.060,0.068,-0.199,-0.325,-0.033,0.024,-0.090,-0.478
2030,0.136,-0.060,0.068,-0.199,-0.325,-0.031,0.024,-0.090,-0.476
2031,0.136,-0.060,0.077,-0.199,-0.325,-0.151,0.025,-0.090,-0.586
2032,0.136,0.047,-0.016,-0.199,-0.325,-0.151,-0.016,-0.090,-0.613
2033,0.136,-0.009,-0.002,-0.032,-0.140,0.030,-0.016,-0.090,-0.123
2034,0.085,-0.009,-0.016,0.075,-0.039,0.023,-0.016,-0.090,0.013
2035,0.085,-0.009,-0.020,0.095,-0.140,0.023,-0.016,-0.102,-0.084
2036,0.085,-0.009,-0.020,-0.069,-0.075,-0.033,-0.016,-0.090,-0.226
2037,0.085,-0.009,-0.016,0.069,-0.039,0.095,-0.016,-0.090,0.079
2038,0.085,0.046,-0.016,-0.032,0.009,0.032,-0.016,-0.090,0.019
2039,0.064,0.046,-0.016,0.000,-0.039,-0.003,-0.016,-0.090,-0.052
2040,0.064,0.002,-0.020,-0.032,-0.039,-0.031,-0.016,-0.090,-0.160
2041,0.064,0.002,-0.061,-0.069,-0.140,-0.031,-0.016,-0.090,-0.340
2042,0.064,0.002,-0.061,-0.069,-0.140,-0.033,-0.016,-0.090,-0.343
2043,0.023,-0.009,-0.061,-0.199,-0.075,-0.151,-0.016,-0.090,-0.578
2044,0.023,-0.009,-0.020,-0.069,-0.075,-0.033,0.040,-0.090,-0.233
2045,0.023,0.002,-0.020,0.000,-0.075,0.030,0.040,-0.090,-0.090
2046,0.023,0.046,-0.020,-0.010,-0.075,-0.031,0.040,-0.090,-0.116
2047,0.023,0.047,-0.002,-0.069,-0.140,-0.031,0.025,-0.090,-0.236
2048,0.023,0.047,-0.046,-0.032,-0.039,-0.003,0.025,-0.090,-0.114
2049,-0.671,0.033,-0.046,-0.010,0.009,0.095,0.025,-0.090,-0.654
2050,-0.671,0.033,-0.046,-0.069,0.009,-0.033,0.024,-0.090,-0.842
2051,-0.671,0.033,-0.046,0.095,0.106,0.032,0.024,-0.102,-0.529
2052,-0.671,0.074,-0.016,0.000,0.093,0.095,0.024,-0.102,-0.502
2053,-0.671,0.074,-0.016,-0.010,0.009,-0.003,0.022,-0.102,-0.695
2054,-0.671,0.074,-0.016,0.069,0.009,0.030,0.022,-0.102,-0.583
2055,-0.671,0.046,-0.016,-0.032,0.009,0.095,0.027,-0.102,-0.643
2056,-0.671,0.002,-0.016,0.069,0.106,0.023,0.027,-0.268,-0.728
2057,-0.671,-0.184,-0.016,0.000,0.106,0.032,0.027,-0.268,-0.974
2058,-0.671,-0.009,-0.002,0.000,0.181,0.095,-0.023,-0.268,-0.697
2059,-0.671,0.033,-0.002,0.075,0.181,0.032,-0.023,-0.268,-0.643
2060,-0.671,0.033,-0.020,0.095,0.181,0.023,-0.114,-0.268,-0.741
2061,-0.424,-0.184,-0.021,0.069,0.106,0.023,-0.114,-0.289,-0.834
2062,-0.424,-0.184,0.077,-0.032,0.009,-0.003,-0.114,-0.289,-0.960
2063,-0.424,-0.184,0.077,-0.010,0.009,-0.151,-0.023,-0.289,-0.995
2064,-0.424,0.074,-0.021,-0.010,0.009,-0.003,-0.023,-0.289,-0.687
2065,0.168,0.002,-0.002,0.069,-0.075,-0.031,0.027,-0.102,0.057
2066,0.057,0.002,-0.016,0.069,-0.075,0.095,0.027,-0.102,0.057
2067,0.057,-0.009,-0.020,0.069,-0.325,0.095,0.027,-0.102,-0.208
2068,0.057,0.046,-0.061,-0.032,-0.325,-0.033,0.027,-0.102,-0.423
2069,0.057,0.046,-0.020,-0.199,-0.325,-0.003,0.027,-0.090,-0.506
2070,0.057,-0.009,-0.002,-0.199,-0.325,-0.151,0.027,-0.090,-0.692
2071,0.057,0.002,-0.046,-0.032,-0.325,-0.151,0.022,-0.090,-0.562
2072,0.057,-0.184,-0.046,-0.010,-0.325,-0.031,0.022,-0.090,-0.606
2073,0.136,-0.184,-0.046,-0.069,-0.325,-0.151,0.024,-0.090,-0.704
2074,0.136,0.002,-0.046,0.095,-0.325,-0.151,0.024,-0.090,-0.355
2075,0.136,0.074,-0.002,-0.069,-0.325,-0.151,0.024,-0.090,-0.402
2076,0.136,-0.060,-0.046,-0.199,-0.325,-0.151,0.025,-0.090,-0.709
2077,0.136,-0.009,-0.016,0.075,-0.039,0.032,-0.016,-0.102,0.061
2078,0.085,0.002,-0.002,-0.010,-0.039,-0.151,-0.016,-0.102,-0.232
2079,0.064,-0.184,-0.020,0.000,-0.140,0.095,-0.016,-0.090,-0.291
2080,0.064,-0.184,-0.020,-0.032,-0.140,-0.031,-0.016,-0.090,-0.448
2081,0.064,0.002,-0.020,0.000,-0.140,-0.003,-0.016,-0.090,-0.202
2082,0.023,0.002,-0.020,0.075,-0.140,0.032,-0.016,-0.090,-0.135
2083,0.023,0.002,-0.061,0.075,-0.140,0.032,0.040,-0.090,-0.120
2084,0.023,0.074,-0.020,-0.069,-0.075,-0.151,0.040,-0.090,-0.267
2085,0.023,0.033,-0.002,-0.069,-0.140,-0.003,0.040,-0.090,-0.209
2086,0.023,0.033,-0.046,-0.032,-0.039,-0.003,0.025,-0.102,-0.140
