ID,Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
2211,0.085,0.002,-0.021,-0.199,-0.325,-0.033,-0.016,-0.268,-0.775
2212,0.064,-0.009,-0.061,-0.069,-0.325,-0.151,-0.016,-0.268,-0.834
2213,0.064,0.002,-0.061,-0.010,-0.325,0.032,-0.016,-0.268,-0.582
2214,0.064,-0.009,-0.061,-0.069,-0.325,-0.151,-0.016,-0.268,-0.834
2215,0.064,0.033,-0.002,-0.199,-0.325,-0.151,-0.016,-0.268,-0.863
2216,0.064,0.047,-0.046,-0.010,-0.075,-0.031,-0.016,-0.268,-0.333
2217,0.064,0.074,-0.046,0.000,-0.039,0.095,-0.016,-0.268,-0.134
2218,0.023,0.046,-0.020,0.000,0.106,-0.003,0.025,-0.268,-0.091
2219,0.023,-0.009,-0.061,-0.032,-0.039,0.095,0.024,-0.268,-0.267
2220,0.023,-0.009,-0.020,-0.069,-0.140,-0.003,0.024,-0.289,-0.483
2221,-0.671,0.002,-0.016,-0.069,-0.140,0.095,0.022,-0.289,-1.065
2222,-0.671,-0.184,-0.002,-0.010,-0.039,-0.031,0.027,-0.289,-1.197
2223,-0.671,-0.184,-0.046,-0.069,0.009,-0.033,0.027,-0.289,-1.255
2224,-0.671,0.002,-0.046,0.000,0.093,-0.033,0.027,-0.289,-0.916
2225,-0.671,0.002,-0.002,0.069,0.093,-0.031,-0.023,-0.289,-0.851
2226,-0.671,-0.009,-0.016,0.069,-0.039,-0.003,-0.023,-0.289,-0.980
2227,-0.671,0.074,-0.002,-0.069,-0.140,-0.033,-0.023,-0.289,-1.152
2228,-0.671,0.033,-0.046,0.000,-0.039,0.032,-0.114,0.074,-0.730
2229,-0.671,-0.009,-0.002,0.075,0.009,0.023,-0.114,0.074,-0.615
2230,0.057,0.002,-0.002,-0.199,-0.325,-0.151,0.040,0.161,-0.417
2231,0.057,0.074,-0.046,0.000,-0.039,0.030,0.040,0.210,0.328
2232,0.057,0.046,-0.061,0.095,0.093,0.023,-0.016,0.013,0.251
2233,0.136,-0.184,-0.021,0.000,-0.140,0.032,-0.016,-0.102,-0.295
2234,0.085,-0.184,-0.021,-0.010,-0.075,-0.003,-0.016,-0.268,-0.492
2235,0.085,-0.184,-0.061,-0.069,-0.075,-0.151,-0.016,-0.268,-0.739
2236,0.085,-0.009,-0.020,-0.032,-0.075,0.030,-0.016,-0.268,-0.305
2237,0.064,0.002,-0.020,0.069,-0.075,0.032,-0.016,-0.268,-0.211
2238,0.064,-0.184,-0.061,0.000,-0.325,0.030,-0.016,-0.268,-0.759
2239,0.064,0.046,-0.020,-0.199,-0.325,-0.151,-0.016,-0.268,-0.868
2240,0.064,0.047,-0.046,-0.199,-0.325,-0.031,-0.016,-0.268,-0.772
2241,0.064,0.047,-0.046,-0.010,-0.140,-0.003,-0.016,-0.268,-0.371
2242,0.064,0.047,-0.046,0.069,0.009,0.030,-0.016,-0.268,-0.109
2243,0.023,0.074,-0.020,0.000,0.106,0.030,0.025,-0.268,-0.029
2244,0.023,-0.009,-0.020,-0.032,0.009,-0.003,0.025,-0.289,-0.296
2245,0.023,-0.009,-0.020,-0.010,-0.140,-0.031,0.024,-0.289,-0.452
2246,0.023,0.074,-0.016,-0.069,-0.140,-0.033,0.024,-0.289,-0.426
2247,0.023,0.046,-0.002,-0.010,-0.039,0.032,0.022,-0.289,-0.216
2248,0.023,-0.009,-0.002,-0.069,0.009,0.030,0.022,-0.289,-0.284
2249,-0.671,0.002,-0.046,-0.010,0.009,-0.003,0.027,-0.289,-0.980
2250,-0.671,-0.184,-0.046,0.069,0.093,0.023,0.027,-0.289,-0.977
2251,-0.671,-0.184,-0.002,0.069,0.093,0.030,0.027,-0.289,-0.926
2252,-0.671,-0.184,-0.016,0.075,0.009,0.032,-0.023,-0.289,-1.067
2253,-0.671,-0.009,-0.016,0.000,-0.039,-0.151,-0.023,0.074,-0.835
2254,-0.671,-0.060,-0.002,-0.010,-0.039,-0.031,-0.023,0.074,-0.761
2255,-0.671,-0.060,-0.016,0.075,0.009,0.023,-0.114,0.074,-0.679
2256,0.168,0.047,-0.016,-0.199,-0.039,-0.033,0.025,0.210,0.164
2257,0.168,-0.060,-0.046,0.000,0.093,0.030,0.040,0.210,0.436
2258,0.057,0.047,-0.061,0.075,0.106,0.032,-0.016,0.210,0.450
2259,0.057,0.046,-0.061,0.000,0.106,-0.003,-0.016,0.210,0.340
2260,0.136,-0.184,-0.021,-0.032,-0.140,-0.003,-0.016,-0.102,-0.362
2261,0.085,-0.184,-0.021,-0.032,-0.140,-0.031,-0.016,-0.268,-0.607
2262,0.085,-0.184,-0.061,0.000,-0.140,-0.033,-0.016,-0.268,-0.617
2263,0.085,0.046,-0.061,0.095,-0.140,0.032,-0.016,-0.268,-0.227
2264,0.085,0.002,-0.021,0.075,-0.075,0.023,0.040,-0.268,-0.139
2265,0.064,0.002,-0.061,0.000,-0.325,-0.031,0.040,-0.268,-0.578
2266,0.064,0.074,-0.016,-0.199,-0.325,-0.033,0.040,-0.268,-0.662
2267,0.064,0.047,-0.046,-0.069,-0.075,-0.031,0.040,-0.268,-0.336
2268,0.064,0.047,-0.046,-0.032,-0.140,-0.003,0.040,-0.268,-0.337
2269,0.064,0.033,-0.046,0.075,0.093,0.030,0.040,-0.268,0.022
2270,0.064,0.033,-0.020,0.000,0.106,-0.003,0.040,-0.289,-0.069
2271,0.023,0.047,-0.020,-0.032,0.093,0.030,0.040,-0.289,-0.108
2272,0.023,0.046,-0.020,-0.010,-0.039,0.095,0.025,-0.289,-0.168
2273,0.023,-0.009,-0.020,-0.010,-0.140,-0.031,0.025,-0.289,-0.451
2274,0.023,0.046,-0.016,-0.069,-0.140,-0.151,0.024,-0.289,-0.572
2275,0.023,0.047,-0.002,-0.010,-0.039,-0.003,0.024,-0.289,-0.248
2276,0.023,0.074,-0.046,-0.010,0.009,-0.003,0.022,-0.289,-0.218
2277,0.023,0.046,-0.046,-0.032,0.093,0.032,0.022,-0.289,-0.150
2278,0.023,-0.009,-0.002,0.095,0.093,0.023,0.027,-0.289,-0.039
2279,-0.671,0.002,-0.002,-0.032,0.093,0.030,0.027,-0.289,-0.841
2280,-0.671,-0.184,-0.016,0.069,0.009,0.032,0.027,0.074,-0.660
2281,-0.671,-0.184,-0.016,-0.069,-0.039,-0.151,-0.023,0.074,-1.079
2282,-0.671,0.047,-0.002,-0.199,-0.039,-0.151,-0.023,0.074,-0.963
2283,-0.671,0.033,-0.046,0.069,0.009,-0.033,-0.023,0.074,-0.588
2284,0.168,0.002,-0.061,-0.199,-0.140,-0.151,0.025,0.210,-0.146
2285,0.136,-0.009,-0.061,0.069,0.093,0.023,-0.016,-0.102,0.134
2286,0.136,-0.184,-0.061,-0.010,-0.140,-0.003,-0.016,-0.102,-0.380
2287,0.136,-0.184,-0.061,-0.032,-0.140,0.095,0.040,-0.268,-0.415
2288,0.085,-0.184,-0.061,-0.010,-0.140,-0.151,0.040,-0.268,-0.689
2289,0.085,-0.009,-0.021,-0.069,-0.075,-0.033,0.040,-0.268,-0.350
2290,0.085,-0.009,-0.061,-0.199,-0.325,-0.003,0.040,-0.268,-0.740
2291,0.064,-0.009,-0.020,-0.199,-0.325,-0.151,0.040,-0.268,-0.867
2292,0.064,0.047,-0.002,-0.199,-0.325,-0.151,0.040,-0.289,-0.814
2293,0.064,0.047,-0.046,-0.069,-0.075,-0.031,0.040,-0.289,-0.357
2294,0.064,0.047,-0.046,0.000,0.009,0.095,0.040,-0.289,-0.078
2295,0.064,0.033,-0.046,0.069,0.106,0.030,0.040,-0.289,0.008
2296,0.064,0.033,-0.020,0.000,0.106,0.095,0.040,-0.289,0.029
2297,0.023,0.033,-0.020,-0.010,0.009,-0.003,0.040,-0.289,-0.217
2298,0.023,0.074,-0.016,-0.010,-0.039,0.030,0.025,-0.289,-0.201
2299,0.023,-0.009,-0.016,-0.032,-0.140,0.095,0.025,-0.289,-0.344
2300,0.023,-0.009,-0.016,-0.032,-0.039,-0.031,0.024,-0.289,-0.368
2301,0.023,0.047,-0.002,-0.199,-0.140,-0.151,0.024,-0.289,-0.687
2302,0.023,0.047,-0.046,-0.032,0.009,0.095,0.024,-0.289,-0.168
2303,0.023,0.074,-0.046,0.069,0.093,-0.003,0.022,-0.289,-0.056
2304,0.023,-0.009,-0.002,0.075,0.106,0.032,0.022,-0.289,-0.042
2305,0.023,-0.009,-0.016,-0.032,0.009,-0.033,0.027,0.074,0.042
2306,0.023,0.002,-0.016,0.075,0.009,0.023,0.027,0.074,0.216
2307,-0.671,-0.184,-0.016,-0.010,-0.039,-0.031,0.027,0.074,-0.849
2308,-0.671,0.002,-0.002,-0.199,-0.039,-0.151,-0.023,0.074,-1.009
2309,-0.671,0.002,-0.046,0.069,0.009,-0.033,-0.023,0.074,-0.619
2310,0.136,0.046,-0.021,0.075,0.009,0.023,-0.016,-0.102,0.151
2311,0.085,0.046,-0.016,-0.069,-0.325,-0.003,0.025,-0.268,-0.524
2312,0.064,0.074,-0.002,-0.199,-0.325,-0.033,0.025,-0.289,-0.683
2313,0.064,0.047,-0.046,-0.032,-0.039,0.095,0.025,-0.289,-0.173
2314,0.064,0.033,-0.046,0.000,0.106,0.095,0.025,-0.289,-0.011
2315,0.064,0.033,-0.046,0.069,0.181,-0.003,0.025,-0.289,0.035
2316,0.064,0.033,-0.061,-0.032,0.106,0.095,0.040,-0.289,-0.044
2317,0.064,0.033,-0.020,-0.032,0.009,-0.003,-0.016,-0.289,-0.253
2318,0.064,-0.060,-0.016,-0.069,-0.140,-0.033,0.040,-0.289,-0.502
2319,0.064,-0.060,-0.002,-0.010,-0.039,0.032,0.040,-0.289,-0.262
2320,0.023,0.046,-0.016,-0.010,-0.039,0.032,0.025,-0.289,-0.227
2321,0.023,0.002,-0.016,-0.010,-0.039,-0.003,0.025,-0.289,-0.306
2322,0.023,-0.009,-0.046,-0.199,-0.140,-0.151,0.024,-0.289,-0.787
2323,0.023,0.046,-0.046,0.075,0.093,-0.003,0.024,-0.289,-0.076
2324,0.023,0.002,-0.020,0.075,0.009,0.032,0.027,0.074,0.221
2325,-0.671,-0.009,-0.020,-0.199,-0.140,-0.033,0.027,0.074,-0.971
2326,-0.671,0.046,-0.046,-0.199,-0.140,-0.033,0.027,0.074,-0.941
2327,-0.671,-0.009,-0.046,0.075,0.009,0.023,-0.023,0.074,-0.568
2328,0.085,0.074,-0.016,-0.199,-0.325,-0.151,0.025,-0.289,-0.795
2329,0.085,0.047,-0.046,-0.199,-0.140,-0.031,0.025,-0.289,-0.547
2330,0.085,0.047,-0.046,0.000,0.093,0.095,0.025,-0.289,0.011
2331,0.085,0.033,-0.046,0.069,0.106,0.095,0.025,-0.289,0.078
2332,0.064,0.033,-0.020,-0.069,0.009,-0.031,0.040,-0.289,-0.261
2333,0.064,0.047,-0.016,-0.069,-0.039,-0.003,0.040,-0.289,-0.264
2334,0.064,0.033,-0.016,-0.199,-0.140,-0.151,0.040,-0.289,-0.658
2335,0.064,0.033,-0.046,-0.069,-0.140,-0.033,0.040,-0.289,-0.439
2336,0.023,0.002,-0.061,0.069,-0.140,0.095,0.022,0.074,0.083
2337,-0.671,0.047,-0.020,-0.010,-0.075,-0.151,0.027,0.074,-0.778
2338,-0.671,-0.060,-0.046,0.000,0.093,0.023,0.027,0.074,-0.559
2339,-0.671,-0.060,-0.016,0.095,0.093,0.023,-0.023,0.074,-0.485
2340,0.085,0.047,-0.002,-0.199,-0.140,-0.031,0.024,-0.289,-0.504
2341,0.085,0.047,-0.046,-0.010,0.009,-0.003,0.024,-0.289,-0.182
2342,0.085,0.047,-0.046,0.000,0.106,-0.003,0.024,-0.289,-0.075
2343,0.064,0.074,-0.016,-0.069,0.009,-0.031,0.025,-0.289,-0.231
2344,0.064,0.047,-0.016,-0.069,-0.039,-0.031,0.025,-0.289,-0.306
2345,0.064,0.074,-0.002,0.000,-0.140,-0.031,0.040,-0.289,-0.282
2346,0.064,0.074,-0.002,-0.069,-0.140,-0.031,0.040,-0.289,-0.351
2347,0.023,0.047,-0.061,-0.069,-0.325,-0.151,0.027,0.074,-0.435
2348,0.023,-0.060,-0.002,0.095,0.106,0.032,0.027,0.074,0.294
2349,-0.671,-0.060,-0.061,0.069,0.009,0.030,0.027,0.074,-0.582
2350,0.168,-0.184,-0.061,0.095,0.181,0.023,0.027,0.210,0.459
2351,0.085,-0.060,-0.002,-0.199,-0.075,-0.033,0.024,-0.268,-0.527
2352,0.085,0.033,-0.046,-0.032,0.009,-0.003,0.024,-0.289,-0.218
2353,0.085,0.047,-0.046,-0.010,0.106,0.095,0.024,-0.289,0.013
2354,0.085,0.047,-0.046,0.000,0.181,0.095,0.024,-0.289,0.098
2355,0.064,0.074,-0.016,-0.032,0.009,-0.003,0.025,0.074,0.196
2356,0.064,0.074,-0.002,-0.069,-0.140,-0.031,0.025,0.074,-0.004
2357,0.064,0.074,-0.002,0.000,-0.039,0.032,0.025,0.074,0.229
2358,0.064,0.074,-0.002,-0.069,-0.075,-0.151,0.040,0.074,-0.044
2359,0.023,-0.060,-0.046,0.095,0.106,-0.003,0.027,0.074,0.216
2360,0.023,-0.060,-0.061,-0.032,0.009,0.030,0.027,0.074,0.010
2361,0.168,0.002,-0.021,-0.199,0.106,-0.151,0.027,0.210,0.142
2362,0.168,0.074,0.077,-0.199,0.009,-0.151,0.022,0.210,0.212
2363,0.057,0.047,-0.061,-0.199,-0.039,-0.033,0.040,0.013,-0.174
2364,0.057,0.074,-0.061,-0.010,0.009,-0.003,0.040,0.013,0.120
2365,0.136,0.002,0.068,-0.199,-0.075,-0.003,0.025,-0.102,-0.147
2366,0.136,0.002,0.068,-0.069,-0.325,-0.151,0.024,-0.102,-0.417
2367,0.085,-0.060,-0.061,-0.199,-0.325,-0.151,0.024,-0.268,-0.955
2368,0.085,-0.060,-0.046,-0.069,-0.140,0.095,0.022,-0.268,-0.380
2369,0.085,0.033,-0.046,0.075,0.093,0.030,0.022,-0.289,0.004
2370,0.085,0.033,-0.046,-0.010,0.106,-0.003,0.022,-0.289,-0.102
2371,0.085,0.047,-0.002,-0.032,0.106,0.030,0.024,0.074,0.332
2372,0.085,0.074,-0.002,-0.010,-0.039,-0.003,0.024,0.074,0.204
2373,0.064,0.074,-0.002,-0.069,-0.140,-0.033,0.024,0.074,-0.007
2374,0.064,0.046,-0.002,-0.032,-0.140,-0.003,0.025,0.074,0.032
2375,0.023,0.047,-0.016,0.000,0.009,-0.003,0.027,0.074,0.161
2376,0.136,0.002,0.077,-0.069,-0.325,-0.033,0.025,-0.102,-0.288
2377,0.136,0.002,0.077,-0.069,-0.325,-0.003,0.024,-0.268,-0.426
2378,0.085,0.033,0.077,-0.199,-0.325,-0.151,0.024,-0.268,-0.724
2379,0.085,-0.060,-0.020,-0.199,-0.325,-0.033,0.022,-0.268,-0.797
2380,0.085,-0.060,-0.046,-0.199,-0.325,-0.151,0.022,-0.268,-0.941
2381,0.085,0.033,-0.046,0.069,0.009,-0.003,0.022,-0.268,-0.098
2382,0.085,0.033,-0.046,0.075,0.106,0.095,0.022,-0.289,0.081
2383,0.023,0.047,-0.020,0.095,0.093,0.032,0.027,0.074,0.371
2384,0.136,-0.009,-0.021,-0.069,-0.325,-0.033,0.024,-0.268,-0.565
2385,0.136,0.033,-0.020,-0.199,-0.325,-0.151,0.022,-0.268,-0.772
2386,0.136,0.033,-0.046,-0.010,-0.325,-0.031,0.022,-0.268,-0.488
2387,0.085,0.033,-0.046,-0.069,-0.140,-0.031,0.027,-0.268,-0.409
2388,0.136,0.074,-0.061,-0.069,-0.325,-0.033,0.024,-0.268,-0.521
2389,0.136,0.047,-0.002,-0.199,-0.325,-0.031,0.022,-0.268,-0.619
2390,0.136,0.033,-0.046,-0.069,-0.075,-0.031,0.027,-0.268,-0.292
2391,0.057,-0.184,0.068,-0.199,-0.325,-0.151,0.025,-0.090,-0.799
2392,0.057,0.002,0.068,-0.199,-0.325,-0.151,0.040,-0.102,-0.610
2393,0.136,0.074,-0.061,-0.199,-0.325,-0.151,0.024,-0.268,-0.769
2394,0.136,0.047,-0.016,-0.199,-0.325,-0.033,0.022,-0.268,-0.635
2395,0.136,0.047,-0.002,-0.069,-0.075,-0.033,0.022,-0.268,-0.241
2396,0.136,0.033,-0.046,-0.069,-0.140,-0.031,0.027,-0.268,-0.358
2397,0.168,-0.184,-0.021,0.000,-0.075,0.095,0.024,-0.090,-0.083
2398,0.057,-0.184,0.077,0.000,-0.325,0.023,0.025,-0.090,-0.416
2399,0.057,-0.184,0.077,-0.010,-0.325,-0.151,0.025,-0.102,-0.612
2400,0.057,0.046,0.077,-0.199,-0.325,-0.151,0.040,-0.102,-0.556
2401,0.057,-0.060,0.077,-0.199,-0.325,-0.151,0.040,-0.102,-0.662
2402,0.057,-0.060,0.068,-0.199,-0.325,-0.151,0.040,-0.102,-0.671
2403,0.136,-0.060,0.068,-0.199,-0.325,-0.151,0.025,-0.102,-0.607
2404,0.136,-0.060,0.068,-0.199,-0.325,-0.151,0.025,-0.268,-0.773
2405,0.136,-0.060,-0.020,-0.199,-0.325,-0.151,0.024,-0.268,-0.862
2406,0.136,0.047,-0.002,-0.199,-0.325,-0.031,0.024,-0.268,-0.617
2407,0.136,-0.009,-0.002,0.000,-0.075,-0.003,0.022,-0.268,-0.198
2408,0.136,0.046,-0.002,-0.010,-0.075,-0.033,0.022,-0.268,-0.183
2409,0.168,0.002,-0.061,0.075,-0.140,0.023,0.024,-0.090,0.000
2410,0.168,-0.184,0.077,0.075,-0.075,0.023,0.024,-0.102,0.006
2411,0.057,-0.184,0.077,0.069,-0.325,0.095,0.025,-0.102,-0.288
2412,0.057,-0.184,-0.021,-0.069,-0.325,-0.151,0.025,-0.102,-0.770
2413,0.057,-0.009,-0.020,-0.069,-0.325,-0.033,0.040,-0.102,-0.461
2414,0.057,0.046,-0.020,-0.010,-0.325,-0.033,0.040,-0.102,-0.346
2415,0.057,0.074,-0.016,-0.069,-0.325,-0.033,0.040,-0.268,-0.539
2416,0.057,0.033,-0.016,-0.199,-0.325,-0.151,0.025,-0.268,-0.844
2417,0.136,-0.060,-0.002,-0.069,-0.325,-0.033,0.025,-0.268,-0.595
2418,0.136,0.033,-0.046,-0.199,-0.325,-0.033,0.024,-0.268,-0.678
2419,0.136,0.074,-0.046,0.000,-0.075,0.030,0.024,-0.268,-0.123
2420,0.136,-0.009,-0.046,0.069,-0.140,0.032,0.022,-0.268,-0.204
2421,0.136,-0.009,-0.002,-0.010,-0.140,-0.031,0.027,-0.268,-0.297
2422,0.023,-0.060,0.077,-0.199,-0.325,-0.033,0.024,0.074,-0.419
2423,0.023,-0.060,-0.061,-0.199,-0.325,-0.031,0.024,0.074,-0.555
2424,0.023,-0.060,-0.020,-0.199,-0.075,-0.031,0.022,0.074,-0.265
2425,0.168,-0.184,0.077,0.075,-0.140,0.023,0.024,-0.102,-0.059
2426,0.168,-0.184,0.077,0.069,-0.075,0.095,0.024,-0.102,0.072
2427,0.057,-0.184,0.077,-0.069,-0.325,-0.151,0.025,-0.102,-0.671
2428,0.057,-0.009,-0.020,-0.199,-0.325,-0.151,0.025,-0.102,-0.723
2429,0.057,-0.009,-0.016,-0.010,-0.325,0.095,0.040,-0.102,-0.270
2430,0.057,0.002,-0.016,-0.032,-0.325,-0.031,0.040,-0.268,-0.573
2431,0.057,-0.009,-0.016,-0.010,-0.325,-0.033,0.040,-0.268,-0.564
2432,0.057,0.046,-0.002,-0.069,-0.325,-0.031,0.025,-0.268,-0.565
2433,0.057,0.074,-0.046,-0.010,-0.325,-0.031,0.025,-0.268,-0.522
2434,0.057,0.074,-0.046,-0.069,-0.325,-0.031,0.024,-0.268,-0.582
2435,0.057,0.074,-0.046,0.069,-0.140,-0.003,0.024,-0.268,-0.232
2436,0.057,0.046,-0.046,0.069,-0.039,0.030,0.022,-0.268,-0.127
2437,0.023,0.033,-0.021,-0.069,-0.325,-0.031,0.040,0.074,-0.277
2438,0.023,-0.060,-0.061,-0.069,-0.325,-0.031,0.025,0.074,-0.424
2439,0.023,-0.060,-0.020,-0.199,-0.325,-0.031,0.025,0.074,-0.512
2440,0.023,-0.060,-0.016,-0.199,-0.075,-0.031,0.024,0.074,-0.259
2441,0.023,-0.060,-0.002,-0.069,-0.075,-0.031,0.024,0.074,-0.115
2442,0.168,-0.184,0.068,0.000,-0.075,0.032,0.024,-0.102,-0.069
2443,0.168,-0.184,0.068,0.069,-0.325,-0.151,0.024,-0.102,-0.433
2444,0.168,0.046,-0.061,-0.199,-0.325,-0.151,0.025,-0.102,-0.598
2445,0.057,-0.009,-0.002,-0.069,-0.075,-0.031,0.025,-0.102,-0.205
2446,0.057,0.002,-0.016,0.075,-0.075,-0.003,0.040,-0.268,-0.188
2447,0.057,0.002,-0.016,0.000,-0.075,0.030,0.040,-0.268,-0.229
2448,0.057,-0.009,-0.016,-0.010,-0.075,-0.003,0.040,-0.268,-0.284
2449,0.057,0.046,-0.002,-0.069,-0.325,-0.033,0.025,-0.268,-0.568
2450,0.023,0.047,-0.021,0.000,-0.075,-0.003,0.040,0.074,0.085
2451,0.023,-0.060,-0.061,-0.032,-0.325,-0.031,0.040,0.074,-0.372
2452,0.023,-0.060,-0.020,-0.199,-0.325,-0.031,0.025,0.074,-0.512
2453,0.023,-0.060,-0.002,-0.199,-0.075,-0.031,0.025,0.074,-0.244
2454,0.023,-0.060,-0.046,-0.010,-0.075,-0.031,0.024,0.074,-0.100
2455,0.023,0.047,-0.046,-0.032,-0.075,-0.031,0.024,0.074,-0.015
2456,0.168,0.047,0.068,-0.010,-0.325,-0.003,0.022,-0.102,-0.134
2457,0.168,-0.184,0.068,0.000,-0.075,0.023,0.022,-0.102,-0.079
2458,0.168,-0.184,0.068,-0.069,-0.325,-0.151,0.024,-0.102,-0.571
2459,0.168,0.047,-0.021,-0.199,-0.325,-0.151,0.024,-0.102,-0.559
2460,0.168,0.047,-0.002,-0.199,-0.325,-0.033,0.025,-0.268,-0.586
2461,0.057,0.046,-0.016,-0.199,-0.325,-0.151,0.025,-0.268,-0.830
2462,0.057,0.047,-0.046,-0.199,-0.325,-0.031,0.025,-0.268,-0.738
2463,0.064,0.074,-0.021,-0.032,-0.075,-0.031,0.040,0.074,0.094
2464,0.064,0.047,-0.021,-0.069,-0.075,-0.003,-0.016,0.074,0.002
2465,0.064,0.047,-0.021,-0.010,-0.075,-0.033,-0.016,0.074,0.031
2466,0.064,0.033,-0.021,-0.069,-0.075,-0.003,-0.016,0.074,-0.013
2467,0.023,-0.060,-0.061,-0.069,-0.325,-0.031,0.040,0.074,-0.409
2468,0.023,-0.060,-0.016,-0.199,-0.325,-0.033,0.040,0.074,-0.496
2469,0.023,-0.060,-0.046,-0.069,-0.325,-0.031,0.025,0.074,-0.408
2470,0.023,0.033,-0.046,0.000,-0.075,0.095,0.025,0.074,0.129
2471,0.023,0.047,-0.046,-0.032,-0.140,-0.003,0.025,0.074,-0.052
2472,0.168,0.002,0.068,-0.010,-0.325,0.095,-0.023,-0.090,-0.116
2473,0.168,0.002,0.068,-0.032,-0.325,-0.033,-0.114,-0.090,-0.356
2474,0.168,0.033,0.077,-0.069,-0.325,-0.151,-0.114,-0.090,-0.471
2475,0.168,-0.060,-0.061,-0.199,-0.325,-0.033,-0.114,-0.090,-0.714
2476,0.168,-0.060,-0.020,-0.199,-0.325,-0.151,-0.114,-0.102,-0.802
2477,0.168,-0.060,-0.061,-0.199,-0.325,-0.033,-0.023,-0.102,-0.635
2478,0.168,0.033,-0.021,-0.199,-0.325,-0.033,-0.023,-0.102,-0.503
2479,0.168,0.047,0.077,-0.199,-0.325,-0.031,0.027,-0.102,-0.337
2480,0.168,0.047,0.077,-0.199,-0.325,-0.033,0.027,-0.102,-0.340
2481,0.168,0.047,0.068,-0.199,-0.325,-0.033,0.022,-0.102,-0.353
2482,0.168,-0.009,0.068,-0.199,-0.325,-0.031,0.022,-0.268,-0.573
2483,0.168,-0.009,-0.021,-0.199,-0.325,-0.151,0.024,-0.268,-0.781
2484,0.168,0.033,-0.046,-0.199,-0.325,-0.151,0.024,-0.268,-0.764
2485,0.057,0.046,-0.046,-0.199,-0.075,-0.033,0.025,-0.268,-0.491
2486,0.085,0.033,0.077,0.075,0.009,0.030,0.022,0.074,0.405
2487,0.085,0.047,0.077,0.069,-0.039,0.095,0.024,0.074,0.432
2488,0.085,0.047,0.077,0.069,-0.039,0.095,0.024,0.074,0.432
2489,0.085,0.047,-0.021,0.069,-0.140,0.095,0.025,0.074,0.233
2490,0.085,0.047,-0.021,0.069,-0.140,0.095,0.025,0.074,0.233
2491,0.064,0.047,-0.021,0.000,-0.140,0.095,0.040,0.074,0.159
2492,0.064,0.074,-0.021,-0.032,-0.075,-0.003,0.040,0.074,0.122
2493,0.064,0.047,-0.021,-0.032,-0.075,-0.003,-0.016,0.074,0.039
2494,0.064,0.047,-0.061,-0.069,-0.075,-0.031,-0.016,0.074,-0.066
2495,0.064,0.033,-0.061,-0.069,-0.325,-0.031,-0.016,0.074,-0.331
2496,0.023,-0.060,-0.016,-0.199,-0.325,-0.033,0.040,0.074,-0.496
2497,0.023,-0.060,-0.046,-0.199,-0.325,-0.033,0.040,0.074,-0.526
2498,0.023,0.033,-0.046,-0.010,-0.075,-0.031,0.040,0.074,0.008
2499,0.023,0.033,-0.046,0.075,-0.140,0.095,0.025,0.074,0.138
2500,0.023,0.047,-0.046,0.000,-0.140,-0.003,0.025,0.074,-0.020
