Elevation,Aspect,Slope,Curvature,Flow acc,TPI,Roads,Rivers,ID,Landslides,Class [E],Class [S],Class [A],Class [C],Class [FA],Class [TP],Class [D1],Class [D2],Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
795.73,258.01,19.20,0.00855,26.36,-2.11,335.26,223.61,"382",yes,p4,p8,p6,p6,p6,p1,p8,p6,0.084868619000000,-0.184272232000000,-0.021112622000000,0.069394899000000,0.093063098000000,0.022916385000000,-0.015670617000000,-0.267899596000000,-0.218712066000000
810.56,218.39,15.12,0.00307,13.76,-0.42,328.02,161.25,"383",yes,p4,p7,p3,p5,p4,p3,p8,p5,0.084868619000000,0.001808829000000,-0.016023948000000,0.000423519000000,-0.038693589000000,0.029821053000000,-0.015670617000000,-0.101812710000000,-0.055278842000000
814.66,231.44,17.54,0.00894,10.91,-0.59,312.41,160.00,"384",yes,p5,p8,p4,p6,p4,p3,p8,p4,0.064455638000000,-0.184272232000000,-0.019866731000000,0.069394899000000,-0.038693589000000,0.029821053000000,-0.015670617000000,-0.089983568000000,-0.184815146000000
805.94,232.76,14.79,0.03700,25.65,-1.83,340.59,181.11,"385",yes,p4,p6,p4,p8,p6,p1,p8,p5,0.084868619000000,-0.009248494000000,-0.019866731000000,0.095087784000000,0.093063098000000,0.022916385000000,-0.015670617000000,-0.101812710000000,0.149337335000000
810.78,246.69,16.10,0.02316,16.82,-1.66,325.58,180.00,"386",yes,p4,p7,p5,p8,p5,p1,p8,p5,0.084868619000000,0.001808829000000,-0.061148782000000,0.095087784000000,0.009232847000000,0.022916385000000,-0.015670617000000,-0.101812710000000,0.035282357000000
804.98,258.82,16.77,0.01237,20.90,-0.05,349.28,201.00,"387",yes,p4,p7,p6,p7,p5,p5,p8,p5,0.084868619000000,0.001808829000000,-0.021112622000000,0.075126801000000,0.009232847000000,-0.003211972000000,-0.015670617000000,-0.101812710000000,0.029229177000000
810.72,266.25,14.93,0.00820,14.92,0.07,339.41,200.00,"388",yes,p4,p7,p7,p6,p5,p5,p8,p5,0.084868619000000,0.001808829000000,0.077229926000000,0.069394899000000,0.009232847000000,-0.003211972000000,-0.015670617000000,-0.101812710000000,0.121839823000000
804.78,268.93,20.06,0.01114,12.43,0.53,329.85,220.91,"389",yes,p4,p8,p7,p6,p4,p6,p8,p6,0.084868619000000,-0.184272232000000,0.077229926000000,0.069394899000000,-0.038693589000000,-0.030695560000000,-0.015670617000000,-0.267899596000000,-0.305738148000000
810.85,276.50,15.52,0.01000,11.60,0.10,325.58,220.00,"390",yes,p4,p7,p7,p6,p4,p5,p8,p6,0.084868619000000,0.001808829000000,0.077229926000000,0.069394899000000,-0.038693589000000,-0.003211972000000,-0.015670617000000,-0.267899596000000,-0.092173499000000
760.75,188.10,14.88,0.00348,6.57,0.39,144.22,305.29,"391",yes,p2,p7,p1,p5,p3,p6,p5,p7,0.057115551000000,0.001808829000000,-0.045615821000000,0.000423519000000,-0.140440662000000,-0.030695560000000,0.024231304000000,-0.288671889000000,-0.421844729000000
754.69,173.95,13.51,0.01900,6.18,-0.58,152.32,311.13,"392",yes,p2,p6,p1,p7,p3,p3,p5,p7,0.057115551000000,-0.009248494000000,-0.045615821000000,0.075126801000000,-0.140440662000000,0.029821053000000,0.024231304000000,-0.288671889000000,-0.297682157000000
754.40,188.72,15.02,0.00791,21.86,-1.04,134.16,322.49,"393",yes,p2,p7,p1,p6,p5,p2,p5,p7,0.057115551000000,0.001808829000000,-0.045615821000000,0.069394899000000,0.009232847000000,0.031715877000000,0.024231304000000,-0.288671889000000,-0.140788402000000
756.32,196.12,14.56,0.00715,77.98,-0.07,116.62,332.87,"394",yes,p2,p6,p1,p6,p7,p5,p4,p7,0.057115551000000,-0.009248494000000,-0.045615821000000,0.069394899000000,0.105651855000000,-0.003211972000000,0.022456623000000,-0.288671889000000,-0.092129247000000
764.92,192.24,12.82,-0.00394,3.41,0.46,170.88,277.85,"395",yes,p2,p5,p1,p3,p2,p6,p6,p6,0.057115551000000,0.046295095000000,-0.045615821000000,-0.009676808000000,-0.074792069000000,-0.030695560000000,0.025357110000000,-0.267899596000000,-0.299912098000000
765.75,185.75,12.58,-0.00708,4.18,0.62,152.32,288.44,"396",yes,p2,p5,p1,p3,p2,p7,p5,p6,0.057115551000000,0.046295095000000,-0.045615821000000,-0.009676808000000,-0.074792069000000,-0.033089711000000,0.024231304000000,-0.267899596000000,-0.303432056000000
765.48,182.43,11.76,0.00193,7.86,-0.17,134.16,300.00,"397",yes,p2,p4,p1,p5,p3,p4,p5,p6,0.057115551000000,0.074341477000000,-0.045615821000000,0.000423519000000,-0.140440662000000,0.094589063000000,0.024231304000000,-0.267899596000000,-0.203255166000000
765.84,188.78,11.84,0.00979,12.17,-0.37,116.62,312.41,"398",yes,p2,p4,p1,p6,p4,p3,p4,p7,0.057115551000000,0.074341477000000,-0.045615821000000,0.069394899000000,-0.038693589000000,0.029821053000000,0.022456623000000,-0.288671889000000,-0.119851695000000
766.19,195.33,12.26,0.00479,51.05,-1.05,100.00,325.58,"399",yes,p2,p5,p1,p5,p7,p2,p3,p7,0.057115551000000,0.046295095000000,-0.045615821000000,0.000423519000000,0.105651855000000,0.031715877000000,0.027092548000000,-0.288671889000000,-0.065993265000000
767.34,203.38,11.86,0.01077,175.54,-1.34,84.85,339.41,"400",yes,p2,p4,p2,p6,p8,p1,p3,p7,0.057115551000000,0.074341477000000,-0.001822229000000,0.069394899000000,0.180950616000000,0.022916385000000,0.027092548000000,-0.288671889000000,0.141317358000000
759.71,184.34,13.99,0.00340,4.75,-0.24,161.25,295.30,"401",yes,p2,p6,p1,p5,p2,p4,p5,p6,0.057115551000000,-0.009248494000000,-0.045615821000000,0.000423519000000,-0.074792069000000,0.094589063000000,0.024231304000000,-0.267899596000000,-0.221196543000000
761.61,188.08,13.47,-0.00026,10.43,0.62,126.49,316.23,"402",yes,p2,p6,p1,p4,p4,p7,p4,p7,0.057115551000000,-0.009248494000000,-0.045615821000000,-0.031836488000000,-0.038693589000000,-0.033089711000000,0.022456623000000,-0.288671889000000,-0.367583816000000
761.82,191.25,11.78,0.00761,65.71,-0.09,107.70,328.02,"403",yes,p2,p4,p1,p6,p7,p4,p4,p7,0.057115551000000,0.074341477000000,-0.045615821000000,0.069394899000000,0.105651855000000,0.094589063000000,0.022456623000000,-0.288671889000000,0.089261758000000
763.08,209.62,10.42,0.03165,243.25,-0.30,89.44,340.59,"404",yes,p2,p3,p2,p8,p8,p4,p3,p7,0.057115551000000,0.047151447000000,-0.001822229000000,0.095087784000000,0.180950616000000,0.094589063000000,0.027092548000000,-0.288671889000000,0.211492892000000
765.10,223.67,9.11,0.00778,398.05,-0.19,72.11,353.84,"405",yes,p2,p2,p3,p6,p8,p4,p3,p7,0.057115551000000,0.032613953000000,-0.016023948000000,0.069394899000000,0.180950616000000,0.094589063000000,0.027092548000000,-0.288671889000000,0.157060793000000
757.56,205.78,12.02,0.02630,323.91,-0.64,100.00,344.09,"406",yes,p2,p5,p2,p8,p8,p3,p3,p7,0.057115551000000,0.046295095000000,-0.001822229000000,0.095087784000000,0.180950616000000,0.029821053000000,0.027092548000000,-0.288671889000000,0.145868529000000
759.18,228.48,11.04,0.02172,550.64,-1.50,82.46,356.09,"407",yes,p2,p4,p3,p8,p8,p1,p3,p7,0.057115551000000,0.074341477000000,-0.016023948000000,0.095087784000000,0.180950616000000,0.022916385000000,0.027092548000000,-0.288671889000000,0.152808524000000
782.26,205.79,9.91,0.02503,264.28,-1.23,28.28,349.86,"408",yes,p3,p3,p2,p8,p8,p1,p2,p7,0.136007927000000,0.047151447000000,-0.001822229000000,0.095087784000000,0.180950616000000,0.022916385000000,-0.023336602000000,-0.288671889000000,0.168283440000000
784.24,215.45,8.96,0.00678,243.09,-0.72,20.00,367.15,"409",yes,p3,p2,p2,p6,p8,p2,p1,p7,0.136007927000000,0.032613953000000,-0.001822229000000,0.069394899000000,0.180950616000000,0.031715877000000,-0.113921575000000,-0.288671889000000,0.046267580000000
778.40,190.21,10.94,0.02089,244.59,-0.28,40.00,344.09,"410",yes,p3,p4,p1,p8,p8,p4,p2,p7,0.136007927000000,0.074341477000000,-0.045615821000000,0.095087784000000,0.180950616000000,0.094589063000000,-0.023336602000000,-0.288671889000000,0.223352556000000
779.93,214.81,10.50,0.01249,289.52,-0.07,20.00,360.56,"411",yes,p3,p3,p2,p7,p8,p5,p1,p7,0.136007927000000,0.047151447000000,-0.001822229000000,0.075126801000000,0.180950616000000,-0.003211972000000,-0.113921575000000,-0.288671889000000,0.031609127000000
783.34,218.39,9.80,-0.01864,113.44,1.65,0.00,377.36,"412",yes,p3,p3,p3,p2,p8,p8,p1,p7,0.136007927000000,0.047151447000000,-0.016023948000000,-0.068639136000000,0.180950616000000,-0.150990845000000,-0.113921575000000,-0.288671889000000,-0.274137402000000
773.24,189.07,12.80,0.00012,172.75,-0.82,63.25,340.59,"413",yes,p3,p5,p1,p4,p8,p2,p3,p7,0.136007927000000,0.046295095000000,-0.045615821000000,-0.031836488000000,0.180950616000000,0.031715877000000,0.027092548000000,-0.288671889000000,0.055937866000000
774.21,203.97,10.75,0.03367,375.98,-1.21,44.72,356.09,"414",yes,p3,p3,p2,p8,p8,p1,p2,p7,0.136007927000000,0.047151447000000,-0.001822229000000,0.095087784000000,0.180950616000000,0.022916385000000,-0.023336602000000,-0.288671889000000,0.168283440000000
776.59,221.33,11.01,0.01542,338.46,-0.70,28.28,372.02,"415",yes,p3,p4,p3,p7,p8,p2,p2,p7,0.136007927000000,0.074341477000000,-0.016023948000000,0.075126801000000,0.180950616000000,0.031715877000000,-0.023336602000000,-0.288671889000000,0.170110260000000
778.99,222.28,9.94,0.01857,359.61,-0.75,20.00,388.33,"416",yes,p3,p3,p3,p7,p8,p2,p1,p7,0.136007927000000,0.047151447000000,-0.016023948000000,0.075126801000000,0.180950616000000,0.031715877000000,-0.113921575000000,-0.288671889000000,0.052335257000000
780.85,231.77,8.28,0.05036,456.95,-1.39,0.00,404.97,"417",yes,p3,p1,p4,p8,p8,p1,p1,p8,0.136007927000000,-0.059663047000000,-0.019866731000000,0.095087784000000,0.180950616000000,0.022916385000000,-0.113921575000000,0.073604571000000,0.315115930000000
770.34,206.79,10.31,0.00606,288.26,0.37,72.11,353.84,"418",yes,p2,p3,p2,p5,p8,p6,p3,p7,0.057115551000000,0.047151447000000,-0.001822229000000,0.000423519000000,0.180950616000000,-0.030695560000000,0.027092548000000,-0.288671889000000,-0.008455996000000
771.29,221.07,9.82,0.02317,521.11,-0.91,56.57,368.78,"419",yes,p3,p3,p3,p8,p8,p2,p2,p7,0.136007927000000,0.047151447000000,-0.016023948000000,0.095087784000000,0.180950616000000,0.031715877000000,-0.023336602000000,-0.288671889000000,0.162881213000000
774.80,234.94,10.16,0.00367,364.94,0.34,40.00,384.19,"420",yes,p3,p3,p4,p5,p8,p6,p2,p7,0.136007927000000,0.047151447000000,-0.019866731000000,0.000423519000000,0.180950616000000,-0.030695560000000,-0.023336602000000,-0.288671889000000,0.001962728000000
777.34,243.46,9.27,0.00589,385.49,-0.18,20.00,400.00,"421",yes,p3,p2,p5,p5,p8,p4,p1,p7,0.136007927000000,0.032613953000000,-0.061148782000000,0.000423519000000,0.180950616000000,0.094589063000000,-0.113921575000000,-0.288671889000000,-0.019157168000000
766.76,225.53,8.08,0.02163,623.08,-0.87,56.57,367.70,"422",yes,p2,p1,p3,p8,p8,p2,p2,p7,0.057115551000000,-0.059663047000000,-0.016023948000000,0.095087784000000,0.180950616000000,0.031715877000000,-0.023336602000000,-0.288671889000000,-0.022825658000000
768.97,240.54,9.40,0.03451,546.66,-1.28,44.72,382.10,"423",yes,p2,p2,p4,p8,p8,p1,p2,p7,0.057115551000000,0.032613953000000,-0.019866731000000,0.095087784000000,0.180950616000000,0.022916385000000,-0.023336602000000,-0.288671889000000,0.056809067000000
772.68,248.90,9.88,0.02154,319.68,-0.32,28.28,396.99,"424",yes,p3,p3,p5,p8,p8,p4,p2,p7,0.136007927000000,0.047151447000000,-0.061148782000000,0.095087784000000,0.180950616000000,0.094589063000000,-0.023336602000000,-0.288671889000000,0.180629565000000
775.57,249.94,9.87,0.00846,175.69,-0.78,20.00,412.31,"425",yes,p3,p3,p5,p6,p8,p2,p1,p8,0.136007927000000,0.047151447000000,-0.061148782000000,0.069394899000000,0.180950616000000,0.031715877000000,-0.113921575000000,0.073604571000000,0.363754980000000
764.05,233.66,9.30,0.00034,387.13,1.20,63.25,368.78,"426",yes,p2,p2,p4,p4,p8,p8,p3,p7,0.057115551000000,0.032613953000000,-0.019866731000000,-0.031836488000000,0.180950616000000,-0.150990845000000,0.027092548000000,-0.288671889000000,-0.193593285000000
765.38,236.53,7.95,-0.00126,503.09,-0.26,44.72,382.10,"427",yes,p2,p1,p4,p4,p8,p4,p2,p7,0.057115551000000,-0.059663047000000,-0.019866731000000,-0.031836488000000,0.180950616000000,0.094589063000000,-0.023336602000000,-0.288671889000000,-0.090719527000000
768.58,249.81,9.90,-0.00911,189.20,0.23,28.28,395.98,"428",yes,p2,p3,p5,p3,p8,p6,p2,p7,0.057115551000000,0.047151447000000,-0.061148782000000,-0.009676808000000,0.180950616000000,-0.030695560000000,-0.023336602000000,-0.288671889000000,-0.128312027000000
772.15,251.93,9.97,-0.01797,103.27,0.66,20.00,410.37,"429",yes,p3,p3,p5,p2,p7,p7,p1,p8,0.136007927000000,0.047151447000000,-0.061148782000000,-0.068639136000000,0.105651855000000,-0.033089711000000,-0.113921575000000,0.073604571000000,0.085616596000000
775.32,249.08,9.51,-0.00972,40.52,0.47,0.00,425.21,"430",yes,p3,p2,p5,p3,p6,p6,p1,p8,0.136007927000000,0.032613953000000,-0.061148782000000,-0.009676808000000,0.093063098000000,-0.030695560000000,-0.113921575000000,0.073604571000000,0.119846824000000
802.99,211.77,11.31,0.01134,237.12,-0.98,126.49,388.33,"431",yes,p4,p4,p2,p6,p8,p2,p4,p7,0.084868619000000,0.074341477000000,-0.001822229000000,0.069394899000000,0.180950616000000,0.031715877000000,0.022456623000000,-0.288671889000000,0.173233994000000
806.14,215.67,11.10,0.00461,104.32,0.26,134.16,407.92,"432",yes,p4,p4,p2,p5,p8,p6,p5,p8,0.084868619000000,0.074341477000000,-0.001822229000000,0.000423519000000,0.180950616000000,-0.030695560000000,0.024231304000000,0.073604571000000,0.405902318000000
797.76,198.50,8.49,0.00705,228.12,-0.02,100.00,354.40,"433",yes,p4,p2,p1,p6,p8,p5,p3,p7,0.084868619000000,0.032613953000000,-0.045615821000000,0.069394899000000,0.180950616000000,-0.003211972000000,0.027092548000000,-0.288671889000000,0.057420954000000
798.97,204.29,8.72,0.00062,241.21,0.11,101.98,373.63,"434",yes,p4,p2,p2,p4,p8,p5,p4,p7,0.084868619000000,0.032613953000000,-0.001822229000000,-0.031836488000000,0.180950616000000,-0.003211972000000,0.022456623000000,-0.288671889000000,-0.004652766000000
800.26,215.03,10.11,0.01026,178.94,-0.43,107.70,392.94,"435",yes,p4,p3,p2,p6,p8,p3,p4,p7,0.084868619000000,0.047151447000000,-0.001822229000000,0.069394899000000,0.180950616000000,0.029821053000000,0.022456623000000,-0.288671889000000,0.144149140000000
802.87,219.11,11.02,-0.00802,59.89,0.17,116.62,412.31,"436",yes,p4,p4,p3,p3,p7,p5,p4,p8,0.084868619000000,0.074341477000000,-0.016023948000000,-0.009676808000000,0.105651855000000,-0.003211972000000,0.022456623000000,0.073604571000000,0.332010418000000
793.70,197.57,9.41,0.00854,171.82,-0.14,80.00,341.76,"437",yes,p4,p2,p1,p6,p8,p4,p3,p7,0.084868619000000,0.032613953000000,-0.045615821000000,0.069394899000000,0.180950616000000,0.094589063000000,0.027092548000000,-0.288671889000000,0.155221989000000
794.85,200.99,9.21,-0.00010,224.82,0.01,80.00,360.56,"438",yes,p4,p2,p1,p4,p8,p5,p3,p7,0.084868619000000,0.032613953000000,-0.045615821000000,-0.031836488000000,0.180950616000000,-0.003211972000000,0.027092548000000,-0.288671889000000,-0.043810433000000
795.92,201.88,8.98,0.00217,221.20,-0.15,82.46,379.47,"439",yes,p4,p2,p2,p5,p8,p4,p3,p7,0.084868619000000,0.032613953000000,-0.001822229000000,0.000423519000000,0.180950616000000,0.094589063000000,0.027092548000000,-0.288671889000000,0.130044201000000
797.25,211.85,10.17,0.00995,140.16,-0.45,89.44,398.50,"440",yes,p4,p3,p2,p6,p8,p3,p3,p7,0.084868619000000,0.047151447000000,-0.001822229000000,0.069394899000000,0.180950616000000,0.029821053000000,0.027092548000000,-0.288671889000000,0.148785065000000
799.87,216.05,11.24,-0.00462,38.43,0.26,100.00,417.61,"441",yes,p4,p4,p2,p3,p6,p6,p3,p8,0.084868619000000,0.074341477000000,-0.001822229000000,-0.009676808000000,0.093063098000000,-0.030695560000000,0.027092548000000,0.073604571000000,0.310775717000000
790.06,198.70,8.83,0.00907,232.45,-0.84,60.00,349.28,"442",yes,p3,p2,p1,p6,p8,p2,p2,p7,0.136007927000000,0.032613953000000,-0.045615821000000,0.069394899000000,0.180950616000000,0.031715877000000,-0.023336602000000,-0.288671889000000,0.093058961000000
792.14,201.71,9.28,-0.00746,190.89,0.41,60.00,367.70,"443",yes,p4,p2,p2,p3,p8,p6,p2,p7,0.084868619000000,0.032613953000000,-0.001822229000000,-0.009676808000000,0.180950616000000,-0.030695560000000,-0.023336602000000,-0.288671889000000,-0.055769899000000
793.05,200.74,9.38,0.00804,187.06,0.03,63.25,386.26,"444",yes,p4,p2,p1,p6,p8,p5,p3,p7,0.084868619000000,0.032613953000000,-0.045615821000000,0.069394899000000,0.180950616000000,-0.003211972000000,0.027092548000000,-0.288671889000000,0.057420954000000
794.26,210.37,10.10,0.00605,110.65,-0.33,72.11,404.97,"445",yes,p4,p3,p2,p5,p8,p4,p3,p8,0.084868619000000,0.047151447000000,-0.001822229000000,0.000423519000000,0.180950616000000,0.094589063000000,0.027092548000000,0.073604571000000,0.506858155000000
788.02,201.75,9.70,0.01134,189.43,0.43,40.00,357.77,"446",yes,p3,p3,p2,p6,p8,p6,p2,p7,0.136007927000000,0.047151447000000,-0.001822229000000,0.069394899000000,0.180950616000000,-0.030695560000000,-0.023336602000000,-0.288671889000000,0.088978611000000
788.76,202.08,8.77,-0.00704,191.64,-0.11,40.00,375.77,"447",yes,p3,p2,p2,p3,p8,p4,p2,p7,0.136007927000000,0.032613953000000,-0.001822229000000,-0.009676808000000,0.180950616000000,0.094589063000000,-0.023336602000000,-0.288671889000000,0.120654032000000
789.49,203.60,8.69,0.00831,184.66,-0.78,44.72,393.95,"448",yes,p3,p2,p2,p6,p8,p2,p2,p7,0.136007927000000,0.032613953000000,-0.001822229000000,0.069394899000000,0.180950616000000,0.031715877000000,-0.023336602000000,-0.288671889000000,0.136852553000000
791.48,212.94,9.37,0.01233,94.57,-0.23,56.57,412.31,"449",yes,p3,p2,p2,p7,p7,p4,p2,p8,0.136007927000000,0.032613953000000,-0.001822229000000,0.075126801000000,0.105651855000000,0.094589063000000,-0.023336602000000,0.073604571000000,0.492435340000000
786.34,209.65,7.27,0.00085,192.13,-0.04,20.00,384.71,"450",yes,p3,p1,p2,p4,p8,p5,p1,p7,0.136007927000000,-0.059663047000000,-0.001822229000000,-0.031836488000000,0.180950616000000,-0.003211972000000,-0.113921575000000,-0.288671889000000,-0.182168657000000
787.59,206.79,7.21,0.00332,156.86,0.02,28.28,402.49,"451",yes,p3,p1,p2,p5,p8,p5,p2,p8,0.136007927000000,-0.059663047000000,-0.001822229000000,0.000423519000000,0.180950616000000,-0.003211972000000,-0.023336602000000,0.073604571000000,0.302952784000000
839.62,196.55,11.43,0.01214,48.42,-0.58,141.42,404.97,"452",yes,p6,p4,p1,p6,p7,p3,p5,p8,0.022720713000000,0.074341477000000,-0.045615821000000,0.069394899000000,0.105651855000000,0.029821053000000,0.024231304000000,0.073604571000000,0.354150051000000
840.80,215.94,11.89,0.02339,46.11,-1.54,128.06,416.17,"453",yes,p6,p4,p2,p8,p7,p1,p4,p8,0.022720713000000,0.074341477000000,-0.001822229000000,0.095087784000000,0.105651855000000,0.022916385000000,0.022456623000000,0.073604571000000,0.414957180000000
844.27,229.29,13.29,0.01704,24.92,-0.86,113.14,428.02,"454",yes,p6,p6,p3,p7,p6,p2,p4,p8,0.022720713000000,-0.009248494000000,-0.016023948000000,0.075126801000000,0.093063098000000,0.031715877000000,0.022456623000000,0.073604571000000,0.293415242000000
836.23,211.69,11.46,0.01555,59.36,-0.21,156.20,421.90,"455",yes,p6,p4,p2,p7,p7,p4,p5,p8,0.022720713000000,0.074341477000000,-0.001822229000000,0.075126801000000,0.105651855000000,0.094589063000000,0.024231304000000,0.073604571000000,0.468443555000000
838.86,226.72,10.84,0.01319,34.47,-0.05,141.42,432.67,"456",yes,p6,p3,p3,p7,p6,p5,p5,p8,0.022720713000000,0.047151447000000,-0.016023948000000,0.075126801000000,0.093063098000000,-0.003211972000000,0.024231304000000,0.073604571000000,0.316662014000000
841.73,241.34,12.90,0.00409,17.45,-0.69,126.49,444.07,"457",yes,p6,p5,p5,p5,p5,p2,p4,p8,0.022720713000000,0.046295095000000,-0.061148782000000,0.000423519000000,0.009232847000000,0.031715877000000,0.022456623000000,0.073604571000000,0.145300463000000
829.85,210.85,11.95,0.02182,69.25,-1.06,184.39,429.42,"458",yes,p5,p5,p2,p8,p7,p2,p6,p8,0.064455638000000,0.046295095000000,-0.001822229000000,0.095087784000000,0.105651855000000,0.031715877000000,0.025357110000000,0.073604571000000,0.440345702000000
833.07,224.59,11.85,0.01292,47.32,-0.20,169.71,439.09,"459",yes,p6,p4,p3,p7,p7,p4,p5,p8,0.022720713000000,0.074341477000000,-0.016023948000000,0.075126801000000,0.105651855000000,0.094589063000000,0.024231304000000,0.073604571000000,0.454241836000000
835.85,231.41,11.63,0.00744,25.24,-0.51,152.32,449.44,"460",yes,p6,p4,p4,p6,p6,p3,p5,p8,0.022720713000000,0.074341477000000,-0.019866731000000,0.069394899000000,0.093063098000000,0.029821053000000,0.024231304000000,0.073604571000000,0.367310383000000
839.72,237.67,13.42,-0.00422,9.67,-0.21,134.16,460.43,"461",yes,p6,p6,p4,p3,p4,p4,p5,p8,0.022720713000000,-0.009248494000000,-0.019866731000000,-0.009676808000000,-0.038693589000000,0.094589063000000,0.024231304000000,0.073604571000000,0.137660029000000
844.80,248.86,17.48,-0.00210,4.72,-0.14,116.62,472.02,"462",yes,p6,p8,p5,p4,p2,p4,p4,p8,0.022720713000000,-0.184272232000000,-0.061148782000000,-0.031836488000000,-0.074792069000000,0.094589063000000,0.022456623000000,0.073604571000000,-0.138678600000000
824.31,221.74,11.92,0.00674,68.38,-0.43,212.60,438.63,"463",yes,p5,p4,p3,p6,p7,p3,p7,p8,0.064455638000000,0.074341477000000,-0.016023948000000,0.069394899000000,0.105651855000000,0.029821053000000,0.040094809000000,0.073604571000000,0.441340354000000
827.17,224.87,10.97,0.01591,59.58,-0.43,196.98,447.21,"464",yes,p5,p4,p3,p7,p7,p3,p6,p8,0.064455638000000,0.074341477000000,-0.016023948000000,0.075126801000000,0.105651855000000,0.029821053000000,0.025357110000000,0.073604571000000,0.432334558000000
830.19,232.43,11.63,0.00339,32.59,-0.29,178.89,456.51,"465",yes,p5,p4,p4,p5,p6,p4,p6,p8,0.064455638000000,0.074341477000000,-0.019866731000000,0.000423519000000,0.093063098000000,0.094589063000000,0.025357110000000,0.073604571000000,0.405967746000000
833.92,235.42,11.84,0.00268,15.25,0.16,161.25,466.48,"466",yes,p6,p4,p4,p5,p5,p5,p5,p8,0.022720713000000,0.074341477000000,-0.019866731000000,0.000423519000000,0.009232847000000,-0.003211972000000,0.024231304000000,0.073604571000000,0.181475727000000
837.12,237.19,12.62,0.00865,10.96,-0.44,144.22,477.07,"467",yes,p6,p5,p4,p6,p4,p3,p5,p8,0.022720713000000,0.046295095000000,-0.019866731000000,0.069394899000000,-0.038693589000000,0.029821053000000,0.024231304000000,0.073604571000000,0.207507314000000
840.44,248.98,18.90,0.00705,9.06,-2.74,126.49,488.26,"468",yes,p6,p8,p5,p6,p3,p1,p4,p8,0.022720713000000,-0.184272232000000,-0.061148782000000,0.069394899000000,-0.140440662000000,0.022916385000000,0.022456623000000,0.073604571000000,-0.174768486000000
850.65,245.16,13.19,-0.01089,1.13,4.08,107.70,500.00,"469",yes,p6,p5,p5,p2,p1,p8,p4,p8,0.022720713000000,0.046295095000000,-0.061148782000000,-0.068639136000000,-0.325177251000000,-0.150990845000000,0.022456623000000,0.073604571000000,-0.440879012000000
818.61,220.86,10.26,0.01908,79.39,-0.72,240.83,449.44,"470",yes,p5,p3,p3,p7,p7,p2,p7,p8,0.064455638000000,0.047151447000000,-0.016023948000000,0.075126801000000,0.105651855000000,0.031715877000000,0.040094809000000,0.073604571000000,0.421777051000000
822.10,232.10,11.13,0.00226,54.62,0.28,223.61,456.95,"471",yes,p5,p4,p4,p5,p7,p6,p7,p8,0.064455638000000,0.074341477000000,-0.019866731000000,0.000423519000000,0.105651855000000,-0.030695560000000,0.040094809000000,0.073604571000000,0.308009578000000
824.77,232.04,10.62,-0.00103,40.98,-0.10,205.91,465.19,"472",yes,p5,p3,p4,p4,p6,p4,p7,p8,0.064455638000000,0.047151447000000,-0.019866731000000,-0.031836488000000,0.093063098000000,0.094589063000000,0.040094809000000,0.073604571000000,0.361255408000000
827.81,235.47,11.35,0.00682,25.40,-0.35,188.68,474.13,"473",yes,p5,p4,p4,p6,p6,p4,p6,p8,0.064455638000000,0.074341477000000,-0.019866731000000,0.069394899000000,0.093063098000000,0.094589063000000,0.025357110000000,0.073604571000000,0.474939126000000
831.37,238.03,11.91,0.00239,18.75,-0.09,170.88,483.74,"474",yes,p6,p4,p4,p5,p5,p4,p6,p8,0.022720713000000,0.074341477000000,-0.019866731000000,0.000423519000000,0.009232847000000,0.094589063000000,0.025357110000000,0.073604571000000,0.280402569000000
834.91,245.50,12.40,0.01143,17.60,-0.52,152.32,493.96,"475",yes,p6,p5,p5,p6,p5,p3,p5,p8,0.022720713000000,0.046295095000000,-0.061148782000000,0.069394899000000,0.009232847000000,0.029821053000000,0.024231304000000,0.073604571000000,0.214151699000000
839.49,252.49,17.58,-0.00263,17.43,-1.14,134.16,504.78,"476",yes,p6,p8,p6,p4,p5,p2,p5,p8,0.022720713000000,-0.184272232000000,-0.021112622000000,-0.031836488000000,0.009232847000000,0.031715877000000,0.024231304000000,0.073604571000000,-0.075716030000000
847.25,233.79,14.05,-0.04637,33.58,2.96,116.62,516.14,"477",yes,p6,p6,p4,p1,p6,p8,p4,p8,0.022720713000000,-0.009248494000000,-0.019866731000000,-0.198733044000000,0.093063098000000,-0.150990845000000,0.022456623000000,0.073604571000000,-0.166994109000000
805.36,212.42,10.51,-0.00451,25.77,0.44,128.06,431.74,"478",yes,p4,p3,p2,p3,p6,p6,p4,p8,0.084868619000000,0.047151447000000,-0.001822229000000,-0.009676808000000,0.093063098000000,-0.030695560000000,0.022456623000000,0.073604571000000,0.278949763000000
806.90,208.68,11.17,-0.00364,12.82,-0.08,141.42,441.81,"479",yes,p4,p4,p2,p4,p4,p4,p5,p8,0.084868619000000,0.074341477000000,-0.001822229000000,-0.031836488000000,-0.038693589000000,0.094589063000000,0.024231304000000,0.073604571000000,0.279282729000000
808.63,206.88,11.81,-0.00229,10.02,-0.28,156.20,444.07,"480",yes,p4,p4,p2,p4,p4,p4,p5,p8,0.084868619000000,0.074341477000000,-0.001822229000000,-0.031836488000000,-0.038693589000000,0.094589063000000,0.024231304000000,0.073604571000000,0.279282729000000
