Elevation,Aspect,Slope,Curvature,Flow acc,TPI,Roads,Rivers,ID,Landslides,Class [E],Class [S],Class [A],Class [C],Class [FA],Class [TP],Class [D1],Class [D2],Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
892.72,243.94,29.80,0.00157,4.01,-0.47,72.11,260.00,"1625",yes,p8,p8,p5,p5,p2,p3,p3,p6,-0.424437319000000,-0.184272232000000,-0.061148782000000,0.000423519000000,-0.074792069000000,0.029821053000000,0.027092548000000,-0.267899596000000,-0.955212878000000
903.73,245.84,28.09,-0.00210,2.79,1.10,84.85,268.33,"1626",yes,p8,p8,p5,p4,p1,p8,p3,p6,-0.424437319000000,-0.184272232000000,-0.061148782000000,-0.031836488000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.418669965000000
913.27,244.62,18.06,-0.01191,1.52,3.46,100.00,277.85,"1627",yes,p8,p8,p5,p2,p1,p8,p3,p6,-0.424437319000000,-0.184272232000000,-0.061148782000000,-0.068639136000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.455472613000000
915.83,221.57,6.90,-0.04853,1.15,1.89,113.14,288.44,"1628",yes,p8,p1,p3,p1,p1,p8,p4,p6,-0.424437319000000,-0.059663047000000,-0.016023948000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.022456623000000,-0.267899596000000,-1.420468427000000
915.95,168.42,5.30,-0.02986,1.21,1.14,128.06,300.00,"1629",yes,p8,p1,p1,p1,p1,p8,p4,p6,-0.424437319000000,-0.059663047000000,-0.045615821000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.022456623000000,-0.267899596000000,-1.450060300000000
887.38,243.57,27.47,-0.00298,4.17,-1.20,56.57,241.66,"1647",yes,p8,p8,p5,p4,p2,p1,p2,p6,-0.424437319000000,-0.184272232000000,-0.061148782000000,-0.031836488000000,-0.074792069000000,0.022916385000000,-0.023336602000000,-0.267899596000000,-1.044806703000000
898.60,241.62,30.57,-0.00463,2.93,0.77,72.11,250.60,"1648",yes,p8,p8,p5,p3,p1,p7,p3,p6,-0.424437319000000,-0.184272232000000,-0.061148782000000,-0.009676808000000,-0.325177251000000,-0.033089711000000,0.027092548000000,-0.267899596000000,-1.278609151000000
908.83,235.81,24.10,-0.00865,2.11,2.79,84.85,260.77,"1649",yes,p8,p8,p4,p3,p1,p8,p3,p6,-0.424437319000000,-0.184272232000000,-0.019866731000000,-0.009676808000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.355228234000000
913.32,213.53,12.43,-0.02484,1.49,2.17,100.00,272.03,"1650",yes,p8,p5,p2,p1,p1,p8,p3,p6,-0.424437319000000,0.046295095000000,-0.001822229000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.295672641000000
913.26,166.48,9.48,-0.02643,2.33,0.90,116.62,284.25,"1651",yes,p8,p2,p1,p1,p1,p7,p4,p6,-0.424437319000000,0.032613953000000,-0.045615821000000,-0.198733044000000,-0.325177251000000,-0.033089711000000,0.022456623000000,-0.267899596000000,-1.239882166000000
