Time;Acceleration
2.68;0.0239704
2.69;0.00771325
2.7;-0.0157441
2.71;-0.0442192
2.72;-0.0746188
2.73;-0.100941
2.74;-0.116952
2.75;-0.121906
2.76;-0.120245
2.77;-0.114118
2.78;-0.100258
2.79;-0.0751896
2.8;-0.0409817
2.81;-0.00430102
2.82;0.0274669
2.83;0.0494801
2.84;0.0622396
2.85;0.0704159
2.86;0.0763517
2.87;0.0770958
2.88;0.071685
2.89;0.0668043
2.9;0.069265
2.91;0.076423
2.92;0.0804944
2.93;0.0792875
2.94;0.0760214
2.95;0.0724975
2.96;0.0681906
2.97;0.0619572
2.98;0.0510143
2.99;0.0331804
3;0.0130561
3.01;0.000554944
3.02;0.00343588
3.03;0.0236779
3.04;0.0581865
3.05;0.0971631
3.06;0.128695
3.07;0.149337
3.08;0.164536
3.09;0.167676
3.1;0.135688
3.11;0.055736
3.12;-0.0502518
3.13;-0.144822
3.14;-0.205464
3.15;-0.232712
3.16;-0.236381
3.17;-0.225698
3.18;-0.207299
3.19;-0.185036
3.2;-0.160051
3.21;-0.133823
3.22;-0.109796
3.23;-0.0886687
3.24;-0.0650581
3.25;-0.033739
3.26;0.00355586
3.27;0.0384954
3.28;0.065314
3.29;0.0818726
3.3;0.0819419
3.31;0.0528277
3.32;-0.00254791
3.33;-0.0556646
3.34;-0.0767319
3.35;-0.0674567
3.36;-0.051105
3.37;-0.0425912
3.38;-0.0401814
3.39;-0.0417594
3.4;-0.0490143
3.41;-0.0570316
3.42;-0.0541794
3.43;-0.0347951
3.44;-0.00362406
3.45;0.0309817
3.46;0.0608563
3.47;0.0785097
3.48;0.0793741
3.49;0.0640499
3.5;0.0386086
3.51;0.0128705
3.52;-0.00506228
3.53;-0.0136198
3.54;-0.0147625
3.55;-0.00820928
3.56;0.00628675
3.57;0.0237533
3.58;0.038788
3.59;0.0530795
3.6;0.0706677
3.61;0.0869337
3.62;0.0913843
3.63;0.0794434
3.64;0.0556106
3.65;0.0255902
3.66;-0.00682773
3.67;-0.038577
3.68;-0.0672783
3.69;-0.0916585
3.7;-0.108451
3.71;-0.113751
3.72;-0.108349
3.73;-0.0973527
3.74;-0.0831111
3.75;-0.0647492
3.76;-0.0439633
3.77;-0.0243466
3.78;-0.0044474
3.79;0.0208084
3.8;0.0506371
3.81;0.0778287
3.82;0.0971743
3.83;0.108461
3.84;0.110734
3.85;0.1037
3.86;0.0929633
3.87;0.0851254
3.88;0.0770469
3.89;0.0604954
3.9;0.0382406
3.91;0.0232457
3.92;0.0203456
3.93;0.0193344
3.94;0.0121081
3.95;0.00513609
3.96;0.00888145
3.97;0.0213751
3.98;0.0315087
3.99;0.0342905
4;0.0350214
4.01;0.0387666
4.02;0.0427176
4.03;0.0401437
4.04;0.028423
4.05;0.0103955
4.06;-0.0102263
4.07;-0.0315158
4.08;-0.0509511
4.09;-0.063682
4.1;-0.0663568
4.11;-0.061055
4.12;-0.0535739
4.13;-0.0473445
4.14;-0.0415066
4.15;-0.0340703
4.16;-0.0249378
4.17;-0.0150622
4.18;-0.00549185
4.19;0.00209817
4.2;0.00597176
4.21;0.00672508
4.22;0.00716096
4.23;0.00852355
4.24;0.00832946
4.25;0.00298094
4.26;-0.00856687
4.27;-0.0242803
4.28;-0.0406106
4.29;-0.0547717
4.3;-0.0668124
4.31;-0.0791284
4.32;-0.0925443
4.33;-0.102834
4.34;-0.103496
4.35;-0.0915015
4.36;-0.0698002
4.37;-0.0437757
4.38;-0.0183639
4.39;0.00327594
4.4;0.0185902
4.41;0.0250622
4.42;0.0209327
4.43;0.00822497
4.44;-0.00821549
4.45;-0.0249062
4.46;-0.0418532
4.47;-0.0568389
4.48;-0.0615301
4.49;-0.0486381
4.5;-0.0231733
4.51;0.000828644
4.52;0.0139409
4.53;0.0166116
4.54;0.011739
4.55;-0.000742406
4.56;-0.0195902
4.57;-0.0379541
4.58;-0.0474811
4.59;-0.0455189
4.6;-0.0361672
4.61;-0.0262426
4.62;-0.020265
4.63;-0.0176483
4.64;-0.0150428
4.65;-0.0120979
4.66;-0.0119052
4.67;-0.0146891
4.68;-0.0152141
4.69;-0.00893191
4.7;0.00301193
4.71;0.017369
4.72;0.0320591
4.73;0.0438236
4.74;0.0478308
4.75;0.0439083
4.76;0.0383486
4.77;0.0365392
4.78;0.0368135
4.79;0.0345963
4.8;0.0291274
4.81;0.0230948
4.82;0.0188145
4.83;0.0173058
4.84;0.0186952
4.85;0.0215525
4.86;0.0238196
4.87;0.0252579
4.88;0.0274852
4.89;0.0309195
4.9;0.0334271
4.91;0.0330408
4.92;0.030946
4.93;0.0299888
4.94;0.0309592
4.95;0.0317227
4.96;0.0303262
4.97;0.0273293
4.98;0.0244893
4.99;0.0224108
5;0.0205698
5.01;0.0185535
5.02;0.0160438
5.03;0.012264
5.04;0.00645505
5.05;-0.00109062
5.06;-0.00917635
5.07;-0.0168318
5.08;-0.0238879
5.09;-0.0300571
5.1;-0.0337207
5.11;-0.031948
5.12;-0.0230561
5.13;-0.00923394
5.14;0.00380255
5.15;0.011265
5.16;0.0126228
5.17;0.010945
5.18;0.00907268
5.19;0.00767309
5.2;0.00662385
5.21;0.00685158
5.22;0.00896024
5.23;0.0109857
5.24;0.00979888
5.25;0.00460102
5.26;-0.00284067
5.27;-0.0113792
5.28;-0.0211427
5.29;-0.030948
5.3;-0.0378124
5.31;-0.0403394
5.32;-0.0398308
5.33;-0.0376595
5.34;-0.0332426
5.35;-0.0253874
5.36;-0.0131682
5.37;0.00382049
5.38;0.0234934
5.39;0.0390989
5.4;0.0429735
5.41;0.0338186
5.42;0.0182712
5.43;0.00467829
5.44;-0.00270082
5.45;-0.0039366
5.46;-0.00175657
5.47;-0.00020367
5.48;-0.00234424
5.49;-0.00752864
5.5;-0.0127696
5.51;-0.0166483
5.52;-0.0202712
5.53;-0.0233935
5.54;-0.0228389
5.55;-0.0159399
5.56;-0.00425189
5.57;0.00792416
5.58;0.0172304
5.59;0.023001
5.6;0.02616
5.61;0.0274373
5.62;0.0268777
5.63;0.0249796
5.64;0.0233028
5.65;0.0230102
5.66;0.0232732
5.67;0.0221916
5.68;0.0191713
5.69;0.0153354
5.7;0.01184
5.71;0.00894159
5.72;0.00718298
5.73;0.0081208
5.74;0.0129113
5.75;0.0202253
5.76;0.0260999
5.77;0.0268695
5.78;0.0224903
5.79;0.0164016
5.8;0.0113935
5.81;0.00738196
5.82;0.00335861
5.83;-0.000263609
5.84;-0.00262691
5.85;-0.00385321
5.86;-0.00429399
5.87;-0.0035948
5.88;-0.00172049
5.89;0.000332926
5.9;0.00192854
5.91;0.00386606
5.92;0.00708165
5.93;0.0110122
5.94;0.0135535
5.95;0.0123925
5.96;0.00664577
5.97;-0.00177503
5.98;-0.00937676
5.99;-0.0142324
6;-0.0174088
6.01;-0.0204322
6.02;-0.0231478
6.03;-0.0250122
6.04;-0.0268461
6.05;-0.0291417
6.06;-0.0302712
6.07;-0.0284526
6.08;-0.024367
6.09;-0.0196116
6.1;-0.0138675
6.11;-0.0063318
6.12;0.000927625
6.13;0.00393476
6.14;0.00153853
6.15;-0.00346687
6.16;-0.00768807
6.17;-0.0100523
6.18;-0.0108889
6.19;-0.010475
6.2;-0.00902406
6.21;-0.00734312
6.22;-0.00628206
6.23;-0.00580398
6.24;-0.00499358
6.25;-0.00300459
6.26;0.000182365
6.27;0.00398909
6.28;0.00794781
6.29;0.0118869
6.3;0.0152936
6.31;0.017264
6.32;0.0173211
6.33;0.0159817
6.34;0.0140601
6.35;0.0119429
6.36;0.00952824
6.37;0.00671651
6.38;0.00361611
6.39;0.000454128
6.4;-0.00256881
6.41;-0.00488644
6.42;-0.00541957
6.43;-0.00356718
6.44;-0.000295209
6.45;0.00289725
6.46;0.00579011
6.47;0.00892936
6.48;0.0114108
6.49;0.0112518
6.5;0.00861662
6.51;0.00667227
6.52;0.00797676
6.53;0.0115107
6.54;0.0144669
6.55;0.0152854
6.56;0.0142793
6.57;0.0125158
6.58;0.010787
6.59;0.0087685
6.6;0.00537054
6.61;0.000442406
6.62;-0.00472579
6.63;-0.00927859
6.64;-0.0138124
6.65;-0.0180051
6.66;-0.0187085
6.67;-0.0132997
6.68;-0.00436493
6.69;0.00178654
6.7;0.00181182
6.71;-0.00229878
6.72;-0.00720285
6.73;-0.0119348
6.74;-0.0166004
6.75;-0.0199185
6.76;-0.0200856
6.77;-0.0171804
6.78;-0.0131315
6.79;-0.0094738
6.8;-0.00658196
6.81;-0.00440214
6.82;-0.00300255
6.83;-0.00234913
6.84;-0.00219531
6.85;-0.00182956
6.86;-0.000250255
6.87;0.00280387
6.88;0.00580265
6.89;0.00644893
6.9;0.00379572
6.91;-0.000744444
6.92;-0.00482936
6.93;-0.00701213
6.94;-0.00740652
6.95;-0.00674811
6.96;-0.00549918
6.97;-0.00379266
6.98;-0.00190897
6.99;-0.000181142
7;0.00131641
7.01;0.00238552
7.02;0.00248104
7.03;0.0016738
7.04;0.00118012
7.05;0.00156463
7.06;0.00139429
7.07;-0.000782365
7.08;-0.00395382
7.09;-0.00598022
7.1;-0.00631784
7.11;-0.00563986
7.12;-0.00392355
7.13;-0.00108665
7.14;0.00164067
7.15;0.0028579
7.16;0.00275321
7.17;0.00242457
7.18;0.0024525
7.19;0.00273384
7.2;0.00269551
7.21;0.00142192
7.22;-0.0010526
7.23;-0.00281631
7.24;-0.00202171
7.25;0.000571152
7.26;0.00268818
7.27;0.00357136
7.28;0.0041579
7.29;0.00487105
7.3;0.00500714
7.31;0.00435688
7.32;0.00390143
7.33;0.00461458
7.34;0.00639103
7.35;0.00861713
7.36;0.0109541
7.37;0.0131855
7.38;0.0143935
7.39;0.0132864
7.4;0.00975178
7.41;0.00555464
7.42;0.0024051
7.43;0.00030999
7.44;-0.00143415
7.45;-0.00267431
7.46;-0.00292864
